Cooler Name,Site Name,Door,Light Intensity,Temperature (Â°C),Smart Tag Serial Number,Event Date,
QA-Cooler3-5April,Dev Site,Single,11,2.19,0008-80152,10/17/2019 3:20:53 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.86,0008-80152,10/17/2019 2:50:52 PM,
QA-Cooler3-5April,Dev Site,Single,11,2.85,0008-80152,10/17/2019 2:20:53 PM,
QA-Cooler3-5April,Dev Site,Single,11,2.35,0008-80152,10/17/2019 1:50:53 PM,
QA-Cooler3-5April,Dev Site,Single,10,4.02,0008-80152,10/17/2019 1:20:53 PM,
QA-Cooler3-5April,Dev Site,Single,10,1.91,0008-80152,10/17/2019 12:50:53 PM,
QA-Cooler3-5April,Dev Site,Single,9,3.58,0008-80152,10/17/2019 12:20:53 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.74,0008-80152,10/17/2019 11:50:54 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.67,0008-80152,10/17/2019 11:20:53 AM,
QA-Cooler3-5April,Dev Site,Single,10,4.21,0008-80152,10/17/2019 10:50:54 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.21,0008-80152,10/17/2019 10:20:54 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.27,0008-80152,10/17/2019 9:50:54 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.25,0008-80152,10/17/2019 9:20:54 AM,
QA-Cooler3-5April,Dev Site,Single,9,4.22,0008-80152,10/17/2019 8:50:54 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.08,0008-80152,10/17/2019 8:20:54 AM,
QA-Cooler3-5April,Dev Site,Single,9,2.24,0008-80152,10/17/2019 7:50:55 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.43,0008-80152,10/17/2019 7:20:54 AM,
QA-Cooler3-5April,Dev Site,Single,9,4.22,0008-80152,10/17/2019 6:50:55 AM,
QA-Cooler3-5April,Dev Site,Single,9,2.55,0008-80152,10/17/2019 6:20:55 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.58,0008-80152,10/17/2019 5:50:55 AM,
QA-Cooler3-5April,Dev Site,Single,9,3.9,0008-80152,10/17/2019 5:20:55 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.18,0008-80152,10/17/2019 4:50:55 AM,
QA-Cooler3-5April,Dev Site,Single,9,2.24,0008-80152,10/17/2019 4:20:55 AM,
QA-Cooler3-5April,Dev Site,Single,9,3.68,0008-80152,10/17/2019 3:50:55 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.72,0008-80152,10/17/2019 3:20:56 AM,
QA-Cooler3-5April,Dev Site,Single,9,2.17,0008-80152,10/17/2019 2:50:56 AM,
QA-Cooler3-5April,Dev Site,Single,9,3.02,0008-80152,10/17/2019 2:20:56 AM,
QA-Cooler3-5April,Dev Site,Single,9,4.14,0008-80152,10/17/2019 1:50:56 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.28,0008-80152,10/17/2019 1:20:56 AM,
QA-Cooler3-5April,Dev Site,Single,9,2.35,0008-80152,10/17/2019 12:50:56 AM,
QA-Cooler3-5April,Dev Site,Single,9,2.64,0008-80152,10/17/2019 12:20:56 AM,
QA-Cooler3-5April,Dev Site,Single,9,3.47,0008-80152,10/16/2019 11:50:56 PM,
QA-Cooler3-5April,Dev Site,Single,10,4.1,0008-80152,10/16/2019 11:20:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.58,0008-80152,10/16/2019 10:50:56 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.44,0008-80152,10/16/2019 10:20:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.36,0008-80152,10/16/2019 9:50:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.89,0008-80152,10/16/2019 9:20:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.46,0008-80152,10/16/2019 8:50:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,4.09,0008-80152,10/16/2019 8:20:58 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.5,0008-80152,10/16/2019 7:50:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.35,0008-80152,10/16/2019 7:20:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.4,0008-80152,10/16/2019 6:50:58 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.23,0008-80152,10/16/2019 6:20:58 PM,
QA-Cooler3-5April,Dev Site,Single,9,4.01,0008-80152,10/16/2019 5:50:58 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.76,0008-80152,10/16/2019 5:20:58 PM,
QA-Cooler3-5April,Dev Site,Single,9,2.95,0008-80152,10/16/2019 4:50:58 PM,
QA-Cooler3-5April,Dev Site,Single,11,2.17,0008-80152,10/16/2019 4:20:58 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.56,0008-80152,10/16/2019 3:50:59 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.18,0008-80152,10/16/2019 3:20:59 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.03,0008-80152,10/16/2019 2:50:58 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.61,0008-80152,10/16/2019 2:20:59 PM,
QA-Cooler3-5April,Dev Site,Single,10,4.07,0008-80152,10/16/2019 1:50:59 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.95,0008-80152,10/16/2019 1:20:59 PM,
QA-Cooler3-5April,Dev Site,Single,9,2.22,0008-80152,10/16/2019 12:51:00 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.42,0008-80152,10/16/2019 12:20:59 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.88,0008-80152,10/16/2019 11:50:59 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.21,0008-80152,10/16/2019 11:20:59 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.61,0008-80152,10/16/2019 10:51:00 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.76,0008-80152,10/16/2019 10:21:00 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.95,0008-80152,10/16/2019 9:51:00 AM,
QA-Cooler3-5April,Dev Site,Single,11,4.01,0008-80152,10/16/2019 9:21:00 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.77,0008-80152,10/16/2019 8:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.64,0008-80152,10/16/2019 8:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.65,0008-80152,10/16/2019 7:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.62,0008-80152,10/16/2019 7:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.33,0008-80152,10/16/2019 6:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.88,0008-80152,10/16/2019 6:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.58,0008-80152,10/16/2019 5:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.33,0008-80152,10/16/2019 5:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.33,0008-80152,10/16/2019 4:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.3,0008-80152,10/16/2019 4:21:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.35,0008-80152,10/16/2019 3:51:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.24,0008-80152,10/16/2019 3:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.35,0008-80152,10/16/2019 2:51:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.33,0008-80152,10/16/2019 2:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.64,0008-80152,10/16/2019 1:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.85,0008-80152,10/16/2019 1:21:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.14,0008-80152,10/16/2019 12:51:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.46,0008-80152,10/16/2019 12:21:02 AM,
